ST_ID,ST_SSN,ST_Fname,ST_Lname,ST_BirthDate,ST_Age,ST_City,ST_Gender,Intake_ID,Track_ID
1,123456789,Andrew,Ashraf,1997-03-15,26,Fayoum,Male,40,1
2,234567890,Shrerif,Rizk,1998-09-22,25,Fayoum,Male,40,1
3,345678901,Abd Ellatif,Nagy,1995-11-07,28,Luxor,Male,40,1
4,456789012,Fathi,Elsayed,1999-04-30,24,Tanta,Male,40,1
5,567890123,Alaa,Ahmed,1996-08-12,27,Port Said,Female,40,1
6,678901234,Layla,Elshehaby,1994-12-25,29,Suez,Female,40,1
7,789012345,Mahmoud,Elwany,2000-02-18,23,Luxor,Male,40,1
8,890123456,Dina,Gaber,1993-06-09,30,Mansoura,Female,40,1
9,901234567,Hesham,Gouda,1992-10-14,31,Tanta,Male,40,1
10,12345678,Salma,Helal,1998-01-28,26,Asyut,Female,40,1
11,234567890,Karim,Khedr,1997-07-03,26,Fayoum,Male,40,1
12,345678901,Yasmin,Mostafa,1996-05-19,27,Damietta,Female,40,2
13,456789012,Mustafa,Ragab,1995-09-08,28,Zagazig,Male,40,2
14,567890123,Aya,Salah,1991-11-11,32,Minya,Male,40,2
15,678901234,Hassan,Shalaby,1990-04-05,33,Sohag,Female,40,2
16,789012345,Rana,Zaki,1999-08-27,24,Qena,Female,40,2
17,890123456,Kareem,Nassar,1994-12-10,29,Banha,Male,40,2
18,901234567,Amira,Fathy,1993-02-16,30,Assiut,Female,40,2
19,12345678,Hatem,Abdelmegid,1992-06-20,31,Beni Suef,Male,40,2
20,123456789,Mona,Elshenawy,1991-10-31,32,Ismailia,Female,40,2
21,234567890,Adel,Elbadrawy,1996-03-24,27,Kafr El Sheikh,Male,40,2
22,345678901,Asmaa,Elhennawy,1995-05-02,28,Damanhur,Female,40,2
23,456789012,Khaled,Elabbasy,1990-09-14,33,Al Mahalla Al Kubra,Male,40,3
24,567890123,Rawan,Elsherbasy,1998-11-29,25,Hurghada,Female,40,3
25,678901234,Emad,Elhaddad,1997-01-17,27,Arish,Male,40,3
26,789012345,Hana,Elganainy,1999-06-05,24,Mallawi,Female,40,3
27,890123456,Adham,Eltahan,1993-08-23,30,Marsa Matruh,Male,40,3
28,901234567,Lamia,Elsabagh,1992-12-06,31,Desouk,Female,40,3
29,12345678,Tarek,Elgabry,1991-02-11,32,Girga,Male,40,3
30,234567890,Fatma,Elshabrawy,1990-10-01,33,Shibin El Kom,Female,40,3
31,345678901,Ramy,Elgarawany,1995-04-18,28,Bani Mazar,Male,40,3
32,456789012,Gehad,Elsharawy,1994-07-26,29,Kafr El Dawwar,Female,40,3
33,567890123,Samir,Elmoselhy,1998-12-09,25,Damietta,Male,40,4
34,678901234,Soha,Elsaidy,1997-02-20,26,Mit Ghamr,Female,40,4
35,789012345,Hossam,Eltoukhy,1996-06-03,27,Abu Kabir,Male,40,4
36,890123456,Yara,Elhalwany,1990-08-29,33,Saloum,Female,40,4
37,901234567,Sherine,Elsherbasy,1999-10-12,24,Edku,Female,40,4
38,12345678,Omar,Elbeleidy,1994-01-06,30,Talkha,Male,40,4
39,234567890,Laila,Elzoghbi,1993-05-21,30,El-Qantara,Female,40,4
40,345678901,Ali,Elramly,1992-09-30,31,Ibsheway,Male,40,4
41,456789012,Hend,Elbeir,1991-11-15,32,Metoubes,Female,40,4
42,567890123,Hany,Elsheemy,1990-03-27,33,Kafr Saad,Male,40,4
43,678901234,Inas,Elbehey,1998-05-11,25,Sharm El Sheikh,Female,40,5
44,789012345,Magdy,Elbohy,1997-09-26,26,Rosetta,Male,40,5
45,890123456,Rasha,Elbennawy,1996-12-17,27,Edfu,Female,40,5
46,901234567,Sameh,Elguindy,1995-02-04,28,Baltim,Male,40,5
47,12345678,Amal,Elmessiry,1994-06-14,29,Abu Hummus,Female,40,5
48,234567890,Ahmed,Elghandour,1993-10-07,30,Rosetta,Male,40,5
49,345678901,Rehab,Elganzoury,1992-01-20,32,Bilbeis,Female,40,5
50,456789012,Nader,Elabady,1991-07-31,32,Samannoud,Male,40,5
51,567890123,Rania,Ibrahim,1990-11-22,33,Derbent,Female,40,5
52,678901234,Said,Ali,1999-03-04,24,Badr,Male,40,5
53,789012345,Heba,Mohamed,1998-07-15,25,Qift,Female,40,6
54,890123456,Mina,Abdelaziz,1997-11-28,26,Naqada,Male,40,6
55,901234567,Basma,Hussein,1996-01-13,28,Armant,Female,40,6
56,12345678,Wael,Ahmed,1995-05-27,28,Abnub,Male,40,6
57,234567890,Shahira,Said,1994-09-08,29,Tamiya,Female,40,6
58,345678901,Akram,Hassan,1993-01-31,31,Dishna,Male,40,6
59,456789012,Noha,Mahmoud,1992-06-13,31,Quesna,Female,40,6
60,567890123,Essam,Khalil,1991-08-24,32,Ashmun,Male,41,6
61,678901234,Shahinaz,Abdelrahman,1990-12-05,33,Mit Badr,Female,41,6
62,789012345,Rafik,Taha,1998-02-18,25,Minyat an Nasr,Male,41,6
63,890123456,Esraa,Mansour,1997-06-02,26,Abu Qurqas,Female,41,6
64,901234567,Raafat,Khalid,1996-10-15,27,Farshut,Male,41,1
65,12345678,Mayar,Kamal,1995-12-29,28,Dar as Salam,Female,41,1
66,234567890,Yehia,Abdelhameed,1994-04-11,29,Al-Hammam,Male,41,1
67,345678901,Mona,Abdelmoneim,1993-08-03,30,Al-Balyana,Female,41,1
68,456789012,Mohsen,Abdelwahab,1992-11-16,31,Sidi Salem,Male,41,1
69,567890123,Rasha,Abdelnasser,1991-03-29,32,Kafr az Zayyat,Female,41,1
70,678901234,Ahmed,Amer,1990-07-10,33,Idfu,Male,41,1
71,789012345,Abeer,Abdelfattah,1999-09-23,24,Beni Mazar,Female,41,1
72,890123456,Mohamed,Elsayed,1998-01-05,26,Kawm Hamada,Male,41,1
73,901234567,Malak,Elshazly,1997-05-19,26,Qalat Dibbin,Female,41,1
74,12345678,Nabil,Elgabry,1996-09-29,27,Qina,Male,41,1
